iter	Passed	Remaining
399	51654	77482
400	51776	77342
401	51880	77174
402	51984	77009
403	52089	76845
404	52211	76706
405	52317	76543
406	52434	76397
407	52546	76244
408	52663	76098
409	52796	75975
410	52900	75811
411	53011	75656
412	53128	75512
413	53232	75348
414	53343	75194
415	53453	75040
416	53574	74901
417	53695	74762
418	53816	74623
419	53933	74479
420	54041	74322
421	54155	74174
422	54256	74009
423	54365	73855
424	54465	73688
425	54578	73540
426	54689	73389
427	54788	73222
428	54887	73055
429	54988	72891
430	55105	72749
431	55204	72583
432	55312	72429
433	55421	72277
434	55519	72111
435	55619	71947
436	55731	71800
437	55828	71633
438	55935	71480
439	56042	71326
440	56140	71162
441	56238	70997
442	56336	70833
443	56437	70674
444	56542	70519
445	56640	70355
446	56738	70193
447	56843	70039
448	56940	69875
449	57042	69718
450	57139	69555
451	57259	69421
452	57368	69272
453	57464	69109
454	57562	68948
455	57671	68801
456	57777	68650
457	57880	68496
458	57988	68348
459	58091	68193
460	58200	68048
461	58307	67898
462	58407	67742
463	58515	67595
464	58627	67453
465	58750	67323
466	58873	67193
467	58980	67045
468	59077	66887
469	59171	66725
470	59277	66577
471	59404	66452
472	59505	66299
473	59613	66152
474	59730	66017
475	59827	65860
476	59931	65710
477	60036	65563
478	60139	65412
479	60246	65266
480	60353	65121
481	60458	64973
482	60578	64843
483	60703	64717
484	60825	64587
485	60944	64456
486	61076	64337
487	61181	64190
488	61293	64050
489	61409	63916
490	61512	63767
491	61618	63622
492	61723	63476
493	61823	63325
494	61927	63178
495	62027	63027
496	62131	62881
497	62231	62730
498	62349	62599
499	62480	62480
500	62616	62366
501	62734	62234
502	62867	62117
503	62993	61993
504	63128	61878
505	63268	61767
506	63413	61662
507	63542	61541
508	63668	61417
509	63800	61298
510	63924	61172
511	64034	61032
512	64161	60909
513	64298	60796
514	64419	60666
515	64551	60548
516	64707	60452
517	64850	60343
518	64957	60201
519	65065	60060
520	65184	59929
521	65308	59803
522	65418	59665
523	65533	59530
524	65636	59385
525	65743	59244
526	65850	59103
527	65953	58958
528	66071	58827
529	66199	58705
530	66298	58556
531	66398	58410
532	66507	58272
533	66616	58133
534	66721	57991
535	66825	57849
536	66938	57714
537	67047	57575
538	67152	57434
539	67258	57294
540	67379	57166
541	67487	57027
542	67593	56887
543	67716	56762
544	67826	56626
545	67934	56487
546	68041	56348
547	68140	56203
548	68248	56065
549	68350	55923
550	68458	55785
551	68569	55650
552	68666	55504
553	68765	55359
554	68869	55219
555	68972	55078
556	69086	54946
557	69190	54806
558	69307	54677
559	69427	54549
560	69538	54416
561	69649	54281
562	69763	54150
563	69897	54033
564	70022	53911
565	70132	53776
566	70233	53634
567	70340	53498
568	70442	53358
569	70551	53222
570	70657	53086
571	70763	52948
572	70873	52814
573	70993	52688
574	71115	52563
575	71230	52433
576	71329	52291
577	71427	52149
578	71539	52017
579	71636	51874
580	71761	51752
581	71868	51616
582	71973	51480
583	72071	51338
584	72172	51199
585	72289	51071
586	72403	50941
587	72485	50789
588	72586	50650
589	72677	50504
590	72785	50370
591	72888	50234
592	73022	50118
593	73126	49982
594	73225	49842
595	73331	49708
596	73434	49571
597	73541	49437
598	73669	49318
599	73765	49176
600	73874	49045
601	73979	48910
602	74084	48775
603	74178	48633
604	74299	48509
605	74413	48380
606	74507	48239
607	74611	48104
608	74727	47977
609	74842	47850
610	74949	47717
611	75047	47579
612	75154	47446
613	75258	47312
614	75365	47180
615	75472	47048
616	75605	46931
617	75705	46795
618	75809	46661
619	75903	46521
620	76001	46383
621	76107	46251
622	76223	46125
623	76330	45994
624	76441	45864
625	76552	45735
626	76687	45621
627	76811	45499
628	76918	45368
629	77029	45239
630	77158	45121
631	77278	44997
632	77396	44872
633	77516	44749
634	77650	44633
635	77775	44513
636	77900	44392
637	78013	44264
638	78157	44154
639	78281	44033
640	78395	43906
641	78526	43788
642	78644	43664
643	78769	43543
644	78891	43420
645	78992	43286
646	79110	43162
647	79218	43032
648	79322	42900
649	79431	42771
650	79562	42653
651	79665	42520
652	79781	42395
653	79898	42270
654	79991	42133
655	80106	42006
656	80220	41880
657	80325	41749
658	80441	41624
659	80549	41495
660	80652	41363
661	80758	41233
662	80869	41105
663	80972	40974
664	81084	40846
665	81186	40715
666	81276	40577
667	81402	40457
668	81511	40329
669	81616	40199
670	81738	40077
671	81859	39955
672	81982	39833
673	82092	39706
674	82210	39582
675	82312	39451
676	82427	39326
677	82534	39197
678	82642	39069
679	82759	38945
680	82885	38825
681	82994	38698
682	83100	38569
683	83215	38444
684	83338	38323
685	83455	38199
686	83556	38068
687	83668	37942
688	83773	37813
689	83873	37682
690	83988	37557
691	84100	37432
692	84210	37305
693	84313	37175
694	84426	37050
695	84541	36926
696	84662	36804
697	84777	36680
698	84893	36556
699	84995	36426
700	85107	36301
701	85218	36175
702	85318	36044
703	85435	35921
704	85548	35797
705	85652	35668
706	85761	35541
707	85867	35414
708	85968	35284
709	86092	35164
710	86211	35042
711	86320	34916
712	86433	34791
713	86562	34673
714	86671	34547
715	86804	34430
716	86901	34299
717	87017	34176
718	87129	34051
719	87235	33925
720	87355	33803
721	87467	33678
722	87584	33555
723	87695	33430
724	87816	33309
725	87937	33188
726	88037	33059
727	88125	32926
728	88237	32801
